# status	workspace root	tracked files	path+blob sha256	Go surface
# ported: runtime behavior and applicable wiring exist; partial: named behavior or applicable wiring remains incomplete.
ported	packages/api/workspace-controller	21	d5b868e9846f2117e32f384e225812abcdfe7e3feb904ba0062020e7261a67d5	internal/harness/remote.go,internal/harness/rpc.go,internal/harness/domains.go
ported	packages/attachment/attachment	15	216c0d34c7da9b22e619252123ed1111735979cda532a4f9d6dca2ff01223373	internal/harness/attachments.go
ported	packages/attachment/attachment-local	21	f59d46e95dd6cbcaef5a350a7b7f39659cd3203a1a89b1089ee7386ce8666733	internal/harness/attachments.go
ported	packages/boot/app-boot	15	970455dc4b594d03016e5392a9c206870a994692ed73cf479838a710163d40fb	internal/harness/harness.go,cmd/dsh/main.go
ported	packages/boot/cmdline	8	967722cde6e2d67fbcc4585986908f4cabcc37142ff123c8495fb81652603e23	internal/harness/harness.go,cmd/dsh/main.go
ported	packages/bundle/acp-app	10	7aa9b62abb08fd11197d7dae3ea359644444d651ba7b5bc6f4a0ed60bbf2662f	cmd/dsh/profile.go,cmd/dsh/main.go,internal/harness/acp.go
ported	packages/bundle/base	10	850bf5074f94564088402eec984b8c0c6ae7fd12baa8f9cb5d6b98b77e03c562	cmd/dsh/profile.go,internal/harness/harness.go
ported	packages/bundle/headless	11	552a70591bbce4247ce4e2377438fbdb8b8c8fbac8b7a73fa81e33b8ca79d1b2	cmd/dsh/profile.go,internal/harness/harness.go
ported	packages/bundle/sdk-app	10	518c1e48579daf2b1d22507bbe81c57e862ce9247ef484681488742fc843e875	cmd/dsh/profile.go,cmd/dsh/main.go,internal/harness/sdk.go
ported	packages/bundle/sdk-minimal	9	2569740be3373f480b4256f632bb05fe7755878c0838b533a8c028d6c89e9055	cmd/dsh/profile.go,cmd/dsh/main.go,internal/harness/sdk.go
ported	packages/bundle/web-app	13	63b7a1210d2d7a4c42cf5e333215b4abe77945e343264b86592c93478ad91c39	cmd/dsh/profile.go,internal/harness/harness.go
ported	packages/client/connection	39	ba404da475cec5d26f5038109198e75fff5ec87c613601ef203546551b5abb0e	internal/harness/server.go,internal/harness/sse.go
hybrid	packages/client/hmr	12	17bf5b6e2ecd6d5047e0365421794f76038ecdb7b2d4696dbc3fae0027795d6d	internal/harness/frontend.go,internal/harness/sse.go
hybrid	packages/client/locale	25	23a41dc7e1f92e00de1599a696247bcfed6fc0a991040e338ccbea263b4c5324	internal/harness/settings.go
hybrid	packages/client/modules	13	1ee48ff8c0c51db8e238ecd278fb0e6039d4235df369b9999cb4bdd22416078b	internal/harness/frontend.go,internal/harness/server.go
frontend	packages/client/store	-	-	-
frontend	packages/client/ui-agent-preset	-	-	-
frontend	packages/client/ui-approval	-	-	-
frontend	packages/client/ui-attachment	-	-	-
frontend	packages/client/ui-brand-official	-	-	-
frontend	packages/client/ui-chat	-	-	-
frontend	packages/client/ui-commands	-	-	-
hybrid	packages/client/ui-conversation	101	87d6766bea93717533a77ceaabc01fb469178f417ec56792abe4ee3674eb0b1f	internal/harness/settings.go
hybrid	packages/client/ui-deliverables	16	a2815eb67509414b7c9cbb67afde02f67b541a5ce2bd5274e7d2a00838898cdd	internal/harness/prompt.go
frontend	packages/client/ui-directory-picker-browse	-	-	-
frontend	packages/client/ui-directory-picker-native	-	-	-
frontend	packages/client/ui-goal	-	-	-
frontend	packages/client/ui-input-trigger	-	-	-
frontend	packages/client/ui-jobs	-	-	-
frontend	packages/client/ui-layout	-	-	-
frontend	packages/client/ui-message-feedback	-	-	-
frontend	packages/client/ui-model-selection	-	-	-
frontend	packages/client/ui-permission-presets	-	-	-
frontend	packages/client/ui-plan	-	-	-
frontend	packages/client/ui-primitives	-	-	-
frontend	packages/client/ui-reference	-	-	-
frontend	packages/client/ui-renderer	-	-	-
frontend	packages/client/ui-session	-	-	-
frontend	packages/client/ui-settings	-	-	-
hybrid	packages/client/ui-settings-general	28	c17154e6e4d10312446218b72bc1dccd1191b0c8b961973db2b3a1c499ce3bf0	internal/harness/settings.go
frontend	packages/client/ui-settings-models	-	-	-
frontend	packages/client/ui-settings-plugin-inventory	-	-	-
frontend	packages/client/ui-settings-plugins	-	-	-
frontend	packages/client/ui-sidebar	-	-	-
frontend	packages/client/ui-skill	-	-	-
frontend	packages/client/ui-slots	-	-	-
frontend	packages/client/ui-subagent	-	-	-
hybrid	packages/client/ui-theme	34	93e6e84445e80cd0ac42f9210a0a6e9a68a3274e6e5db1292ebf6783bff7323d	internal/harness/server.go,internal/harness/settings.go
frontend	packages/client/ui-tool	-	-	-
frontend	packages/client/ui-trajectory	-	-	-
frontend	packages/client/ui-user-questions	-	-	-
frontend	packages/client/ui-workflow-run	-	-	-
frontend	packages/client/ui-workspace	-	-	-
frontend	packages/client/web	-	-	-
ported	packages/code-runtime/code-runtime	10	3e0b57344c34aa0348c01c4eca262227fe9ed52a73233410e0054aafb5a92728	internal/harness/workflow.go
ported	packages/code-runtime/code-runtime-python	12	bb20b391d915ba224fb6fba861605d34d97b9a01db6027ba3160ef123adcbc89	internal/harness/code_runtime_python.go
ported	packages/code-runtime/code-runtime-worker-thread	19	6861d7e992daf51e8852ed6f45ffc1dba20884f7d141f9bcc470abbd68551aaa	internal/harness/workflow.go
ported	packages/compaction/command-compact	10	a23731635ccc96fc4a31ed6530b46748bc83ad84af2d3d6cac0a1f335d55f6fd	internal/harness/compaction.go,internal/harness/commands.go
ported	packages/compaction/compaction	15	0857ad2b528f63aa3a8f9d7bcdadc3bfc96ae1034bca6b7913c2952d6bdf61fb	internal/harness/compaction.go,internal/harness/commands.go
ported	packages/compaction/compaction-basic	15	ca948bca0daa4714beed8bd1b0243af6ed4eb843b367b22140c91e22b4e44c63	internal/harness/compaction.go,internal/harness/commands.go
ported	packages/compaction/compaction-tool-result-pruner	11	a6c6c9ec77de638a9400e8d410af6bc80204cf2545a03115d2171e8dd9b4b515	internal/harness/compaction.go,internal/harness/commands.go
ported	packages/context/agent-instructions	14	b1d02a5f0136fcfd9d05138a9d6ab82f1956c88907c9bb8e8fc9b931500938bd	internal/harness/prompt.go
ported	packages/context/file-reference	11	35dfede2cbb0b64caa600a8c5c8e996f05d6e0a451a0a5a896c27d014ffb4164	internal/harness/file_reference.go,internal/harness/remote.go,internal/harness/prompt.go
ported	packages/context/file-reference-local	11	a8bf2745d9463da850fe315a3d5cd0aaa860b6d09e2a2952879bfe11d3f84802	internal/harness/file_reference.go,internal/harness/prompt.go
ported	packages/context/session-reference	13	c90f6c53390067510eeb46a060bbcc2802563b8db722ea9091f27aa597552959	internal/harness/session_reference.go
ported	packages/context/time-context	17	1e2e07a8d290e930dea2cee8d39755365b24538f5856e2def261c6edb31e18e9	internal/harness/context_runtime.go
ported	packages/context/tmux-context	8	47096d027aa5cb2285903cf1b895c860a68eadb9a8accf451233dcc126c580ee	internal/harness/context_runtime.go
ported	packages/core/agent	20	a05cf37e76085b636c40f3e68728bfb4a3b3b98668a17026ed02cf9e2e748c2b	internal/harness/agent.go,internal/harness/harness.go,internal/harness/session_log.go,internal/harness/tools.go
ported	packages/core/agent-default-model	9	e95701f11ae0bb8776a8cfa63f7ca0db6aaca0eaff6cbff706edfe1073b512bf	internal/harness/agent.go,internal/harness/harness.go,internal/harness/session_log.go,internal/harness/tools.go
ported	packages/core/agent-loop	32	11fa29eaa5694a0be92c86e59a518bdd39ff6ee4477c58740c2ba95362592d57	internal/harness/agent.go,internal/harness/harness.go,internal/harness/session_log.go,internal/harness/tools.go
ported	packages/core/agent-tool-presentation	8	a1afcebb31def45842fff012edda90c2fc4260b6f250c76a71d86ea185cabf52	internal/harness/agent.go,internal/harness/harness.go,internal/harness/session_log.go,internal/harness/tools.go
ported	packages/core/scope	13	7a29b67b1969fc8dc456cd670a9555f87fa8c2cd3f7e818dbbdab72d561d102c	internal/harness/agent.go,internal/harness/harness.go,internal/harness/session_log.go,internal/harness/tools.go
ported	packages/core/session	31	f34994b5b0157eba8f9fee165b8a55c875384070036d1495b5d0d2d50ec9a072	internal/harness/agent.go,internal/harness/harness.go,internal/harness/session_log.go,internal/harness/tools.go
ported	packages/core/system-prompt	11	c36f4a89169a85a56e6e515c659a2884bea469796fb6b6f2384a609467d85ce2	internal/harness/agent.go,internal/harness/harness.go,internal/harness/session_log.go,internal/harness/tools.go
ported	packages/core/tools	27	467b143a29621065345a5d2ffd73fe41a688fc4e70ca261ab342a0cd067144a3	internal/harness/agent.go,internal/harness/harness.go,internal/harness/session_log.go,internal/harness/tools.go
ported	packages/credentials/authorization	11	652b8eb35a5ac26ee86faae62a1981fd566b7291afea9d3e3f2518005dc2b45c	internal/harness/authorization.go,internal/harness/dynamic_native_services.go,internal/harness/harness.go
ported	packages/credentials/credentials	11	3d38b182cccb1aeca55bcb3d5248d508ef2af4c1b695b3813728f7241101a889	internal/harness/credentials.go,internal/harness/settings.go
ported	packages/credentials/credentials-local	13	448b0b859e46a450a195647a19f53e489fab507c164510d22813849ca1fa2901	internal/harness/credentials.go,internal/harness/settings.go
ported	packages/e2b/e2b	12	62e59168f5fc79b21aa4159717792801abe95fab5ddb282ee89d22e3bf8828ce	internal/harness/e2b.go,internal/harness/e2b_fs.go,internal/harness/e2b_subprocess.go
ported	packages/e2b/fs-e2b	8	17d56c2005c5413b2c481aa674fd9f4a2527916e0e5bda80a039b341ec1724b9	internal/harness/e2b.go,internal/harness/e2b_fs.go,internal/harness/e2b_subprocess.go
ported	packages/e2b/subprocess-e2b	14	4790d584c088513c57122ea18e34da17bffea17ed87e1df29bf2f694a2cef7fa	internal/harness/e2b.go,internal/harness/e2b_fs.go,internal/harness/e2b_subprocess.go
support	packages/examples/agent-spine-demo	10	0018c4f7d93123e45ce9f4e4218ca044911629480c63fb3a511ce862fe9fc81e	-
ported	packages/experimental/agent-team	27	a424e6ab5d6279b91b1689a9987eedb72c7a54be934775e130a990f84ebff223	internal/harness/agent_team.go,internal/harness/harness.go,internal/harness/agent.go
ported	packages/experimental/agent-team-profile	9	f4443360224cda434f62f09e858e8b969cbc07bb1dad13a4550afabf471e9ef7	cmd/dsh/profile.go,internal/harness/agent_team.go,internal/harness/agent_team_tools.go
hybrid	packages/experimental/agent-team-web-profile	9	a7a5385ebca72942a5f344ef3abb0f93078eddc4b48abc96e9b0fcd8d4763375	cmd/dsh/profile.go,internal/harness/agent_team.go,internal/harness/remote.go
frontend	packages/experimental/client-ui-agent-team	-	-	-
support	packages/experimental/inspector	185	0e8661af5d5fda1889c7f761300a7faad41405d57641834a52ebbf93f5df3a1e	-
ported	packages/experimental/tool-agent-team	8	4e577e89b20842233c81b98d3f4c4eabdaecd6a044bfcfd385b381db6601be7b	internal/harness/agent_team_tools.go,internal/harness/model_tools.go,internal/harness/prompt.go
support	packages/experimental/webworker-packer	15	53f725709c72311c7812258f92fd85cf0ffc0f04879bca6016c196c4e1b81596	-
frontend	packages/experimental/webworker-runtime	-	-	-
frontend	packages/extensions/cordis-client-runner	-	-	-
ported	packages/extensions/cordis-host-runner	19	da8f3233f8c0633547317b8a10f3a971e3297a58fb1c6ccccba01c59ea8bd5bd	internal/harness/dynamic.go,internal/harness/dynamic_runner.go
ported	packages/extensions/tool-cordis	14	51697cb1551e9eae631fdeb075dcd5ffe05281a724624e9987cfefd9caae7b52	internal/harness/dynamic_tools.go
frontend	packages/extensions/ui-cordis	-	-	-
ported	packages/feedback/command-feedback	9	19d7f868d94aa8e9baac543510dcb132b4414ba7425be30b40456e0e2ae5097c	internal/harness/commands.go,internal/harness/interactions.go
ported	packages/feedback/message-feedback	13	5c7935e6aec4270635cbe009512dc4e8569242b8aa1dc5fbca1c34ec7c8b4acb	internal/harness/commands.go,internal/harness/interactions.go
ported	packages/fs/fs	10	43789721c8c9f9890677b06fffa5f0364ce210bf9a7f15601a5daccd7c440dc3	internal/harness/fs_policy.go,internal/harness/tools.go,internal/harness/str_replace_editor.go
ported	packages/fs/fs-local	12	d5bb67fc50062753b53bbce2c821c3a7b22fd82bae03bd5da8131ebdddc6fae7	internal/harness/fs_policy.go,internal/harness/tools.go,internal/harness/str_replace_editor.go
ported	packages/fs/fs-observation-policy	9	2a26d3e20491bfb8ab2b1328a51a671701e3de3a60378008f2244b1b98846e01	internal/harness/fs_policy.go,internal/harness/tools.go,internal/harness/str_replace_editor.go
ported	packages/fs/fs-sandbox	10	f70098afe222c6b7274726a2144b6a3424a3d0f08e4abe7b643c52475167e359	internal/harness/fs_policy.go,internal/harness/tools.go,internal/harness/str_replace_editor.go
ported	packages/fs/tool-fs	25	66cefb6e14f97299e9d729a1a8c99f2d000b7b089f63a44d9db13c606ab45bd3	internal/harness/fs_policy.go,internal/harness/tools.go,internal/harness/str_replace_editor.go
ported	packages/fs/tool-fs-search	19	9b083c46a2c973f9bb2faed026a64637b83e4cb2d67cecaf0740c33fd1dcabb1	internal/harness/fs_policy.go,internal/harness/tools.go,internal/harness/str_replace_editor.go
ported	packages/fs/tool-str-replace-editor	8	feb0938b930dad94a0a2eab60d5ee8205618f77c28cf44a4aaa21896a9511d61	internal/harness/fs_policy.go,internal/harness/tools.go,internal/harness/str_replace_editor.go
ported	packages/goal/command-goal	8	e049f0fe8f0af64d868371aa47a6827c975e43b446b661f34d5b1239b80d308e	internal/harness/goal.go,internal/harness/commands.go,internal/harness/model_tools.go
ported	packages/goal/goal	19	1d7f6717a6bb8baa83a24ad1dd26343bd1a93edd41ef9866170cc0b35b40c0b1	internal/harness/goal.go,internal/harness/commands.go,internal/harness/model_tools.go
ported	packages/goal/goal-round-driver	11	37b179d7b63fa2223a363607a9ecbdae6d9d6baa19334c0ccffc4bda462061d0	internal/harness/goal.go,internal/harness/commands.go,internal/harness/model_tools.go
ported	packages/goal/tool-goal	10	537d3434fff4bc1775fe37aab603718f83d0e524d803d0ddfacf71b0b8fb50bb	internal/harness/goal.go,internal/harness/commands.go,internal/harness/model_tools.go
ported	packages/guard/repeat-tool-reminder	8	e23586803ada249ccd0bc73a6d6c5200e37cda0ea3d23feac50c2436863c8435	internal/harness/repeat_tool_reminder.go,internal/harness/tools.go
ported	packages/guard/timeout-policy	8	bc0f54d92705d6c67d5a38e3940279fc48d691c77b8ec12cd661bd4e487e4f4a	internal/harness/repeat_tool_reminder.go,internal/harness/tools.go
ported	packages/hooks/hook-protocol	21	ad1dc0e559f24d12adf4d97bfdde1bff505ebc2c4f4861746941e347749e9d1d	internal/harness/hooks.go,internal/harness/hooks_runtime.go
ported	packages/hooks/hooks-claude-code	15	c76654e569fd8fcc6568765118d31b036fe65baa1db725d8ad4e4f96b14168af	internal/harness/hooks.go,internal/harness/hooks_runtime.go
ported	packages/hooks/hooks-codex	14	7f3532543bbe464fbf3d327656468f2adda093e69255c44727627797719da898	internal/harness/hooks.go,internal/harness/hooks_runtime.go
ported	packages/host/directory-picker	9	2544b3340263dba07d985422b8953fd820cb3102494c8fa1e1364fdcf43e1a6e	internal/harness/rpc.go,internal/harness/server.go,internal/harness/frontend.go,internal/harness/remote.go
ported	packages/host/directory-picker-auto	11	fe2caea2169305bec872540b9e86108bda42827fc303d9f62fa5a1fc53bc1700	internal/harness/rpc.go,internal/harness/server.go,internal/harness/frontend.go,internal/harness/remote.go
ported	packages/host/directory-picker-browse	9	5c10bdce8a2621d673dbfa2a46bfe2a94f68745b16f6e70b0caa4e372fe26442	internal/harness/rpc.go,internal/harness/server.go,internal/harness/frontend.go,internal/harness/remote.go
ported	packages/host/directory-picker-native	20	16f4465ba7fd7fb0a8f6488b2786aa3c5bf7837f3639b825feabd0940fe1b4e6	internal/harness/rpc.go,internal/harness/server.go,internal/harness/frontend.go,internal/harness/remote.go
ported	packages/host/frontend-static	8	21394578133ea2e51e63603dd441025397202508f212d8d77f703597e5ba2d45	internal/harness/rpc.go,internal/harness/server.go,internal/harness/frontend.go,internal/harness/remote.go
ported	packages/host/plugin-inventory	10	0ab72d2096d1a65b4f7268053051d482cac89832341777b69bb0eea8d1f9bb0b	internal/harness/rpc.go,internal/harness/server.go,internal/harness/frontend.go,internal/harness/remote.go
ported	packages/host/webserver	9	3376697287e0d4bd8b6e0bc746d5639cd196f9fef1d44df11ace2a1f24686b07	internal/harness/rpc.go,internal/harness/server.go,internal/harness/frontend.go,internal/harness/remote.go
ported	packages/identity/anonymous-user-id	9	a08d07d19f5c4a1934f18836b8ae8bebb90abcd3210c39866a83152c1dbf0909	internal/harness/commands.go,internal/harness/telemetry.go
ported	packages/interaction/commands	11	f659fb7a332cbca3f2cbe302a0acdde62ad15fa897f8cb222653937de333aa66	internal/harness/commands.go,internal/harness/interactions.go,internal/harness/model_tools.go
ported	packages/interaction/permission-presets	12	42e0a4395ff2c0750947c7eb0ef748fb362f2c9a66557748be46ea41162d6019	internal/harness/commands.go,internal/harness/interactions.go,internal/harness/model_tools.go
ported	packages/interaction/tool-ask-user	8	03e0e26f5e7e03fcd69cbe1590445a73d031fe9e5174f1e00ff0c962aa0f4708	internal/harness/commands.go,internal/harness/interactions.go,internal/harness/model_tools.go
ported	packages/interaction/user-approval	11	2357049d06f873e3622fa7cebc720437415a181497161792be004c19d6133fa2	internal/harness/commands.go,internal/harness/interactions.go,internal/harness/model_tools.go
ported	packages/interaction/user-questions	9	df34a9871692f394b769dfdad7e679636f8bffcf0595c0d1236880c50398e22f	internal/harness/commands.go,internal/harness/interactions.go,internal/harness/model_tools.go
ported	packages/jobs/jobs	11	433685afc9782eafe091f0a7f6b76d8680b7c2ecb73a611acc3ede3b3ba37547	internal/harness/jobs.go
ported	packages/jobs/jobs-local	9	7c541fae4b2368780b53446be6bac9e246e5ebcb84caca8b2312b15cbd43b9c6	internal/harness/jobs.go
ported	packages/jobs/tool-jobs	8	e0da9ee978798664ee8d89c739ee1f9fe938814d04f9e2b8b08f5eff68fba32c	internal/harness/jobs.go
ported	packages/llm/deepseek-llm-api-extensions	9	ae310e89bb946ffd9b29a436bf0a8fe5aabb1fc79c4740a2a3fb71bf59d46653	internal/harness/provider.go,internal/harness/deepseek_extensions.go
ported	packages/llm/llm	31	4597375b8aca9a9653d4319674c86d7a7abf189a5e890647988ef731d7c2c95d	internal/harness/provider.go,internal/harness/pi_ai_provider.go,internal/harness/retry.go
ported	packages/llm/llm-deepseek	32	f4bb4402d4928ea2d3a5f85a11ee058fd1ee350ff166d3b9a70dc43015e9e6e6	internal/harness/provider.go,internal/harness/pi_ai_provider.go,internal/harness/retry.go
ported	packages/llm/llm-pi-ai	34	afef84d84dfd6095a2ca388cc70f4dae82dd0ee078405f5b9e0d0e8c7d6275f7	internal/harness/provider.go,internal/harness/pi_ai_auth.go,internal/harness/pi_ai_catalog.go,internal/harness/pi_ai_login.go,internal/harness/pi_ai_oauth.go,internal/harness/pi_ai_provider.go,internal/harness/retry.go
ported	packages/llm/llm-retry	16	1fd6373eafbbcb0f1063dfe28c8508e68b646aa06cb9160277f8990c3288bad7	internal/harness/provider.go,internal/harness/pi_ai_provider.go,internal/harness/retry.go
ported	packages/llm/plugin-package-inventory-deepseek	9	840d158a7b7617a7db8876c9fe7c32970db3f518bc8d0494fc65ac45a6571593	cmd/dsh/profile.go,internal/harness/provider.go,internal/harness/deepseek_extensions.go
ported	packages/llm/token-meter	22	a12211ed9440a350e404a05c497f685f9ef47d106fe8833b0a08069f927d15af	internal/harness/provider.go,internal/harness/pi_ai_provider.go,internal/harness/retry.go
ported	packages/lsp/lsp	10	a55dd500635e902daa071b5cc1a17f5feba7432b984968a3aac230a0eddede36	internal/harness/lsp.go
ported	packages/lsp/lsp-stdio	24	779a72014cb69f470cf60921948f624534483e55b30de105332a999234483298	internal/harness/lsp.go
ported	packages/lsp/tool-lsp	13	a053565388d6ac956c42f9b447633ec480257d9ad1319bf5ad44b2e06162eaec	internal/harness/lsp.go
ported	packages/mcp/mcp-client	17	a18bd108406710d204c39138998327d1b9dd95577b87f6a2d27471cf1fad1b38	internal/harness/mcp.go
ported	packages/plan/plan-mode	13	b81780d89c42e5443dd9cd83f7056b8abd95b71c9799add8585fdb652616eda9	internal/harness/prompt.go,internal/harness/projections.go
ported	packages/preset/agent-presets	52	ed78fb1d9161e861639475f685732a6123ae4fa6980fc9e99b0b83e515a61791	internal/harness/capabilities.go,internal/harness/prompt.go
ported	packages/preset/persona	8	2454cd62ea4b27e2e93ae0d04196a46250b1651c9ee5f168cd6ad259bab8d3c8	internal/harness/capabilities.go,internal/harness/prompt.go
ported	packages/runtime-diagnostics/invariants	8	a0958de17d1507c7862f0bd28bc61994a5c6e77a2c55786cb1134a8474613e8c	internal/harness/runtime_invariants.go
ported	packages/sandbox/sandbox	12	64ab50f4cce068d2ee751aad434bef93d42fab2adc02eb58929f71f57e4a2dac	internal/harness/sandbox_mode.go,internal/harness/sandbox_linux.go,internal/harness/sandbox_darwin.go,internal/harness/process_windows.go
ported	packages/sandbox/sandbox-local	16	00e3640f7532802ae468ff8ed98742fb161f504331374fb69c40f15fab49c003	internal/harness/sandbox_mode.go,internal/harness/sandbox_linux.go,internal/harness/sandbox_darwin.go,internal/harness/process_windows.go
ported	packages/sandbox/sandbox-policy	11	406edd1da454b8f8eae1c22f6c370d20f5a3ad7caf77dfbaf58c05bceae5d86d	internal/harness/sandbox_mode.go,internal/harness/sandbox_linux.go,internal/harness/sandbox_darwin.go,internal/harness/process_windows.go
ported	packages/sandbox/sandbox-windows-acl	30	4a87b07f546fa40bc7b9d246ecdef5e6cebfee56e5857330dc1ac3d227998009	internal/harness/sandbox_mode.go,internal/harness/sandbox_linux.go,internal/harness/sandbox_darwin.go,internal/harness/process_windows.go
ported	packages/schedule/schedule	21	2e2aabebee3da15552aba2fa6cc1bc9ac6f2c042fd02429d417ae96b9bc637af	internal/harness/schedule.go
hybrid	packages/sdk/client	16	f7268995aa27054daec567b897791338323fe9bf1bd04c0117e41128497ef0e8	internal/harness/sdk.go
ported	packages/sdk/protocol	10	c0244e09c34647e27de4b56b515a8c169a4da210dbd2f9a72097bbe4d2e071e0	internal/harness/sdk.go
ported	packages/sdk/server	12	37631d84025488aba50b9b8bc6e7ec25a22a601a37ee1beb3cf7cbe047d8adb7	internal/harness/sdk.go
ported	packages/session-query/session-log-export	27	f649aab7f232f59227b1953c589d93ed510c45e3f5dd580c43421bda247347e3	internal/harness/session_query.go,internal/harness/export.go
ported	packages/session-query/session-query	22	5815d5e6094877c3541c989193ec2ba7b46948464a96ed313baf92d4ccd71842	internal/harness/session_query.go,internal/harness/export.go
ported	packages/session-query/session-query-sqlite	12	e54b43ecb8c2a490700de4f22badefba5d051ffd79244926a91dcaf64fb7ae57	internal/harness/session_query.go,internal/harness/export.go
ported	packages/session-query/tool-session-query	14	442b6bcc7980081b0bbf91d91f80faeabf5f4c2d94e2abee29f84d8789dcfb8e	internal/harness/session_query.go,internal/harness/export.go
ported	packages/session/session-checkpoint-policy	10	eae1317c41925aee02f205c8a2cc2cc6f192d3e86db512ca76134097c743b419	internal/harness/session_log.go,internal/harness/session_persistence.go,internal/harness/projections.go,internal/harness/session_title.go,internal/harness/telemetry.go
ported	packages/session/session-log-deepseek	10	e672281f0fd8962d5135da78da1c517275c53342efc32ad58e698a23985071ce	internal/harness/provider.go,internal/harness/session_log.go,internal/harness/deepseek_extensions.go
ported	packages/session/session-persistence	17	8e55ac8da0a39bf0d19a13700268d7a9ea6bad7075e7563e1bd8b25620d77c68	internal/harness/session_log.go,internal/harness/session_persistence.go,internal/harness/projections.go,internal/harness/session_title.go,internal/harness/telemetry.go
ported	packages/session/session-persistence-jsonl	16	1c334acfa70466a94decef9f9e53f6e7078d807154ec357514581c01f83df091	internal/harness/session_log.go,internal/harness/session_persistence.go,internal/harness/projections.go,internal/harness/session_title.go,internal/harness/telemetry.go
ported	packages/session/session-persistence-sqlite	82	1cff00a008035dd7b85cd1da5d4175deb92436ed0d2ee77a4bf3238af0d1e306	internal/harness/session_log.go,internal/harness/session_persistence.go,internal/harness/session_persistence_sqlite.go,internal/harness/session_persistence_sqlite_coordinator.go
ported	packages/session/session-projection	9	5313fb487f02056e5dd2c4cea848302e5e44fb7c09faffd894433e6a0da87218	internal/harness/session_log.go,internal/harness/session_persistence.go,internal/harness/projections.go,internal/harness/session_title.go,internal/harness/telemetry.go
ported	packages/session/session-projection-cache	9	200c4246102acbb97488d1cf9833b58532fbbd549f17be93fee2ea6b60bd3052	internal/harness/projection_cache.go
ported	packages/session/session-stats	12	4ab2a60ee1463dd1b7daf70706354dc03b786dca3c0da4ee806bf289d9d12bd7	internal/harness/session_log.go,internal/harness/session_persistence.go,internal/harness/projections.go,internal/harness/session_title.go,internal/harness/telemetry.go
ported	packages/session/session-telemetry	10	b7b00b645f7a61483d05bfa5edae5d362b46d6f83a8ab2f537e45a86fd3072dc	internal/harness/session_log.go,internal/harness/session_persistence.go,internal/harness/projections.go,internal/harness/session_title.go,internal/harness/telemetry.go
ported	packages/session/session-telemetry-otel	12	9504cf558fe4738f85c054b4f13a14e4c5fe66980c59bf8b60dd92dbfb5bdfae	internal/harness/session_log.go,internal/harness/session_persistence.go,internal/harness/projections.go,internal/harness/session_title.go,internal/harness/telemetry.go
ported	packages/session/session-title	17	1b3729d5ee7b4fbf8a5c5aaa1f1e63f453b8936e6cd710ce857accb4476c3848	internal/harness/session_log.go,internal/harness/session_persistence.go,internal/harness/projections.go,internal/harness/session_title.go,internal/harness/telemetry.go
ported	packages/session/session-title-all-prompts-llm	8	1733e59aaf70f8f832ad534b335827514e021bbc492c3499958675d3c20f83e0	internal/harness/session_title.go
ported	packages/session/session-title-first-prompt-llm	10	6df4c9d5c5413ee17c632b41a9fbf4c986a4f4a11043861bf93247bcdb2e4da7	internal/harness/session_log.go,internal/harness/session_persistence.go,internal/harness/projections.go,internal/harness/session_title.go,internal/harness/telemetry.go
